feature,mean_abs_shap
fio2_last,0.14555812475072022
mode_,0.11333518265416082
bicarbonate_last,0.060832498682719685
platelet_count_min,0.04411646829272985
platelet_count_last,0.0434912517396317
dbp_max,0.039497888125106455
sbp_last,0.03881299794180586
potassium_max,0.03792433862566347
dbp_mean,0.030378476303436094
sodium_mean,0.027275847641699835
heart_rate_min,0.025427954280234706
vasopressor_active,0.024581807304771046
potassium_mean,0.022542601594710953
chloride_last,0.022457708727037423
map_max,0.02206561992955872
respiratory_rate_max,0.02203927782832668
sbp_std,0.021972172946691983
peep_last,0.02183910848357772
mode_Pressure-Regulated Volume Control,0.020936698061666665
spo2_min,0.020761684197578942
heart_rate_std,0.019162220634232358
respiratory_rate_min,0.017320146168046904
dbp_last,0.017010922473995157
bicarbonate_max,0.016042647166643564
hemoglobin_max,0.014821131937437247
sbp_mean,0.014238323531387993
heart_rate_max,0.013668782867711917
chloride_min,0.013532755021855815
vasopressor_max_dose,0.012499601248650821
dbp_min,0.012073004000808567
map_min,0.011153771917240086
hemoglobin_min,0.011076590162348155
sbp_min,0.010946168907898398
mode_Assist Control-Volume Control,0.010280474706483073
hemoglobin_last,0.009803254358963034
sodium_min,0.009667453962741301
bun_min,0.009475093287634483
bicarbonate_min,0.009102163930977679
spo2_slope,0.009057706134859353
map_last,0.008935876050633325
sbp_max,0.008551996672253558
bun_last,0.008384733357864995
map_std,0.00838057765020748
bun_mean,0.008334100729292342
dbp_slope,0.008312646070253027
respiratory_rate_std,0.007906163912264248
sbp_slope,0.007853434365445406
potassium_last,0.007851101835383961
respiratory_rate_slope,0.007565769297141957
spo2_std,0.006890019640256891
heart_rate_slope,0.00654742833548448
creatinine_mean,0.0064538665960355715
mode_Pressure Support/CPAP,0.006430376768335784
respiratory_rate_mean,0.006311795581994762
spo2_last,0.005905963537399732
spo2_mean,0.005633331942933174
creatinine_min,0.004687073802382219
hemoglobin_mean,0.004605353015130364
map_mean,0.0043733991262236115
dbp_std,0.003963455228010387
heart_rate_mean,0.0035955490201153417
bun_max,0.003401420760212986
chloride_mean,0.00328590464879763
respiratory_rate_last,0.003188339538652173
heart_rate_last,0.003118769751039776
chloride_max,0.0030053519870247123
platelet_count_mean,0.002920782382609356
lactate_last,0.002680816213018261
creatinine_max,0.0026258480719849766
potassium_min,0.0020867202653712382
platelet_count_max,0.0020110978911724283
map_slope,0.001940033207335503
creatinine_last,0.001686529504414648
mode_Other,0.0016038856033095863
sodium_max,0.0013471289953309966
spo2_max,0.0010259912640368334
mode_Pressure Control,0.0008385152350272983
lactate_max,0.0008070357711706312
sodium_last,0.0005920211445912721
lactate_min,0.0005727864581090398
bicarbonate_mean,0.0004616346512548626
lactate_mean,0.0003006150181777776
platelet_count_std,0.0
mode_SIMV,0.0
mode_Volume Support,0.0
platelet_count_missing,0.0
lactate_slope,0.0
lactate_missing,0.0
bicarbonate_std,0.0
bicarbonate_slope,0.0
bicarbonate_missing,0.0
platelet_count_slope,0.0
lactate_std,0.0
potassium_missing,0.0
hemoglobin_slope,0.0
heart_rate_missing,0.0
sbp_missing,0.0
dbp_missing,0.0
map_missing,0.0
spo2_missing,0.0
respiratory_rate_missing,0.0
temp_c_last,0.0
temp_c_min,0.0
temp_c_max,0.0
temp_c_mean,0.0
temp_c_std,0.0
temp_c_slope,0.0
temp_c_missing,0.0
sodium_std,0.0
sodium_slope,0.0
sodium_missing,0.0
potassium_std,0.0
potassium_slope,0.0
urine_output_6h,0.0
chloride_std,0.0
chloride_slope,0.0
chloride_missing,0.0
creatinine_std,0.0
creatinine_slope,0.0
creatinine_missing,0.0
bun_std,0.0
bun_slope,0.0
bun_missing,0.0
hemoglobin_std,0.0
hemoglobin_missing,0.0
net_fluid_balance,0.0
